probeset,hgnc
7894767,ARF1
7894769,EIF3FP3///EIF3F
7894771,SNX3
7894773,SEPT2
7894774,RPL12P33///RPL12P8///RPL12P4///NBEAL1///RPL12
7894777,SART3
7894782,EIF4G2
7894787,DDX46///HARS///TAOK1///ARIH2///WDR83OS///CHMP7
7894788,EIF4G2
7894790,KHDRBS1
7894791,YY1
7894796,IK
7894798,HSP90AB3P///HSP90AB1
7894801,SART3
7894802,USP22
7894806,HNRNPD
7894808,ARF1
7894809,USP22
7894813,MIR4426///RPS27AP1///RPS27AP2///RPS27A///RPS27AP3
7894816,ERH
7894819,HNRNPM
7894820,C22orf28
7894824,GUK1
7894826,GDI2
7894827,C1DP1///C1D
7894833,EIF3D
7894834,CBX3P9///CBX3
7894837,SART3
7894838,ARF3
7894842,EIF3D
7894844,MIR4426///RPS27A
7894845,HNRNPD
7894846,YY1
7894847,ZNF259
7894851,KAT7
7894858,RPL18P11///CHRNB4///RPL18
7894860,HNRNPM
7894861,EIF3D
7894865,SPAG7
7894873,USP22
7894876,EIF3D
7894877,HNRNPD
7894878,CANX
7894880,CAPNS1
7894884,SART1
7894886,DDX5
7894895,ILF2
7894896,DDX5
7894903,C22orf28
7894904,RPL11
7894906,RNPS1P1///RNPS1
7894908,NARS
7894914,HNRNPC
7894916,SNORD14B///RPS13
7894919,NPM1P5///NPM1P8///NPM1P6///NPM1P14///NPM1P22///NPM1P13///NPM1///NPM1P9///CLEC2D
7894920,RPL19
7894924,NARS
7894926,PSMB2
7894927,CBX3
7894943,EIF3F
7894946,USP22
7894947,SART3
7894948,FNTA
7894951,KHDRBS1
7894953,HNRNPC
7894955,HNRNPM
7894957,KAT7
7894963,NPM1
7894964,HNRNPM
7894968,EIF3D
7894969,SART3
7894971,RPS3AP5///RPS3A
7894974,HINT1
7894977,GUK1
7894978,RPS7P1///RPS7P10///RPS7P11///RPS7
7894980,HNRNPM
7894982,RPS3AP5///RPS3AP26///RPS3AP6///RPS3A
7894983,NPM1
7894984,ATP6V1G2-DDX39B///DDX39B
7894990,RPS25
7894991,TARDBP
7894993,MIR3655///IK
7894999,SNORD35B///RPS11
7895001,RPS5
7895002,RHOA
7895003,KHDRBS1
7895004,LINC00184///TFE3///EIF3D///ADAM17
7895005,HNRNPM
7895012,RPL19///FAM153C
7895014,ATP6V1G2-DDX39B///DDX39B
7895016,C22orf28
7895017,CANX
7895018,EIF3FP3///EIF3FP1///EIF3F
7895019,SEPT2
7895021,EIF3D
7895026,RPS24
7895027,ANAPC5
7895028,TARDBP
7895031,C22orf28
7895032,ANAPC5
7895033,SEPT2
7895034,HNRNPM
7895036,C11orf58
7895038,KARS
7895039,SEPT2
7895040,C22orf28
7895041,CAPNS1
7895042,ANAPC5
7895043,CANX
7895045,EIF3F
7895051,PRPF8
7895052,PRPF8
7895054,SPAG7
7895055,HNRNPKP4///HNRNPK
7895056,SART1
7895057,HNRNPKP2///HNRNPK
7895059,RPL11
7895062,HNRNPC
7895065,ANAPC5
7895067,IK
7895068,NONO
7895069,USP22
7895072,SRSF9
7895073,PRPF8
7895077,PRPF8
7895081,EIF4G2
7895082,HNRNPKP4///HNRNPK
7895083,C1D
7895084,ARF1
7895085,SMNDC1
7895087,EIF4G2
7895088,NONO
7895089,EIF4G2
7895090,C22orf28
7895091,CNPPD1
7895093,PRPF8
7895096,JTB
7895098,ZNF259P1///ZNF259
7895099,SLC25A3
7895101,ARF3
7895105,CCDC84
7895110,ARF1
7895112,RPL12P1///RPL12P2///RPL12P38///RPL12P8///NBEAL1///RPL12
7895117,NONO
7895119,NPM1
7895121,RPL35
7895122,HNRNPKP3///HNRNPKP4///HNRNPK
7895123,HSP90AB3P///HSP90AB1
7895124,RPS5
7895130,TJAP1
7895133,STARD7
7895137,RPL28
7895145,ABCF1
7895146,NPM1
7895147,GUK1
7895149,CFL1
7895150,NPM1
7895151,CANX
7895153,C1DP1///C1D
7895157,RPL19P12///RPL19P20///RPL19P21///RPL19///FAM153C
7895160,SMNDC1
7895161,GDI2
7895162,PRPF8
7895164,C11orf58
7895168,SART3
7895170,SNORA72///RPL30
7895171,CCDC84
7895176,SEPT2
7895177,ABCF1
7895180,PSMB2
7895181,ARF3
7895183,MIR877
7895187,SART1
7895190,RPS5
7895192,PRPF8
7895200,CAMTA2
7895203,RNPS1
7895209,HNRNPM
7895210,ILF2
7895214,HNRNPD
7895215,SRSF9
7895221,KARS
7895225,LINC00691///NPM1P23///NPM1P17///NPM1P21///NPM1P8///NPM1P6///NPM1P12///NPM1
7895226,ATP6V1G2-DDX39B///DDX39B
7895227,MIR7-1///HNRNPKP4///HNRNPKP1///HNRNPK
7895231,SNX3
7895237,SART3
7895238,EIF3D
7895239,CAPNS1
7895241,KHDRBS1
7895246,DAD1
7895247,HNRNPD
7895248,EIF4G2
7895252,CBX3
7895254,HNRNPA1
7895256,SNORD58B///SNORD58A///RPL17P25///RPL17-C18orf32///RPL17///P4HA1
7895258,TARDBP
7895263,GDI2
7895264,KARS
7895268,EIF3D
7895271,GDI2P2///GDI2
7895272,HNRNPKP4///HNRNPK
7895273,RPL34
7895274,HNRNPA1P7///HNRNPA1P10///HNRNPA1L2///HNRNPA1///HNRNPA1P8
7895275,RPL6
7895276,CANX
7895277,NARS
7895280,EIF3D
7895281,SEPT2
7895282,FNTA
7895283,CANX
7895285,TARDBP
7895288,HNRNPM
7895289,PRPF8
7895290,PRPF8
7895291,CNPPD1
7895294,ILF2
7895298,TARDBP
7895299,CFL1
7895307,KAT7
7895308,EIF4G2
7895310,KXD1
7895311,RPL6
7895312,MIR7-1///HNRNPKP2///HNRNPKP4///HNRNPKP1///HNRNPK
7895316,USP22
7895317,RPL12P33///RPL12P38///RPL12P41///RPL12P4///NBEAL1///RPL12///ANKRD16
7895320,SEPT2
7895322,CBX3
7895324,RPS10
7895325,MIR877///ABCF1
7895328,HSP90AB1
7895330,SLC25A3
7895331,USP22
