probeset,hgnc
J03241_s_at,TGFB3
J03242_s_at,IGF2///INS-IGF2
J03258_at,VDR
J03260_s_at,GNAZ
J03263_s_at,LAMP1
J03278_at,PDGFRB
J03459_at,LTA4H
J03473_at,PARP1
J03474_at,RNA5SP333///RNA5SP334///SAA2///SAA1///SAA2-SAA4
J03507_at,C7
J03589_at,UBL4A
J03592_at,SLC25A6
J03600_at,ALOX5
J03626_rna1_s_at,UMPS
J03756_at,GH2
J03764_at,SERPINE1
J03778_s_at,MAPT
J03779_at,MME
J03798_at,SNRPD1
J03801_f_at,LYZ
J03805_s_at,PPP2CB
J03810_at,SLC2A2
J03824_at,UROS
J03827_at,YBX1///YBX1P1
J03890_rna1_at,SFTPC
J03910_rna1_at,MT1G
J03915_s_at,CHGA
J03925_at,ITGAM
J03930_at,ALPI
J03934_s_at,NQO1
J04027_at,ATP2B1
J04029_s_at,KRT10
J04031_at,MTHFD1
J04040_at,GCG
J04046_s_at,CALM3
J04056_at,CBR1
J04058_at,ETFA
J04076_at,EGR2
J04080_at,C1S
J04088_at,TOP2A
J04093_s_at,UGT1A8///UGT1A10///UGT1A9///UGT1A7///UGT1A6///UGT1A5///UGT1A4///UGT1A3///UGT1A1
J04101_at,ETS1
J04102_at,ETS2
J04130_s_at,CCL4
J04132_at,CD247
J04152_rna1_s_at,TACSTD2
J04156_at,IL7
J04162_at,FCGR3B
J04164_at,IFITM2///IFITM1
J04173_at,PGAM1
J04177_at,COL11A1
J04182_at,LAMP1
J04430_s_at,ACP5
J04444_at,CYC1
J04456_at,LGALS1
J04469_at,CKMT1B
J04501_at,GYS1
J04513_at,FGF2
J04543_at,ANXA7
J04599_at,BGN
J04605_at,PEPD
J04611_at,XRCC6
J04615_at,SNRPN///SNURF
J04617_s_at,EEF1A1P11///EEF1A1P5///EEF1A1P9///EEF1A1///EEF1A1P6
J04621_at,SDC2
J04739_at,BPI
J04742_at,RPE
J04760_at,TNNI1
J04794_at,AKR1A1
J04809_rna1_at,AK1
J04810_s_at,MSH3
J04823_rna1_at,COX8A
J04948_at,ALPPL2
J04970_at,CPM
J04973_at,UQCRC2
J04982_at,SLC25A4
J04988_at,HSP90AB3P///HSP90AB1
J04990_at,CTSG
J05008_at,EDN1
J05016_rna1_s_at,MARCH8
J05032_at,DARS
J05036_s_at,CTSE
J05037_at,SDS
J05068_at,TCN1
J05070_at,MMP9
J05073_at,PGAM2
J05096_rna1_at,ATP1A2
J05125_at,PNLIP
J05158_at,CPN2
J05200_rna1_s_at,RYR1
J05213_at,IBSP
J05243_at,SPTAN1
J05249_at,RPA2
J05252_s_at,PCSK2
J05253_s_at,RBP3
J05257_at,DPEP1
J05272_at,IMPDH1
J05401_at,CKMT2
J05412_at,REG1A
J05428_at,UGT2B7
J05448_at,POLR2C
J05459_at,GSTM3
J05500_at,SPTB
J05556_at,MMP8
J05582_s_at,MUC1
J05614_at,PCNA
J05633_at,ITGB5
J05682_at,ATP6V1C1
K01396_at,SERPINA1
K01911_at,NPY
K02054_at,GRP
K02100_at,OTC
K02215_at,AGT
K02268_at,PDYN
K02402_at,F9
K02574_at,PNP
K02765_at,C3
K02766_at,C9
K02777_s_at,TRAC
K02882_cds1_s_at,IGHD
K03008_cds1_at,CRYGC
K03008_cds2_at,CRYGD
K03021_at,PLAT
K03183_f_at,CGB///CGB2///CGB1///CGB5///CGB8///CGB7
K03189_f_at,CGB///CGB2///CGB1///CGB5///CGB8///CGB7
K03195_at,SLC2A1
K03204_f_at,PRB1
K03207_f_at,PRB4
K03218_at,SRC
K03430_at,C1QB
K03431_cds1_at,HP///HPR
K03474_at,AMH
K03494_s_at,OPN1LW///OPN1MW///OPN1MW2
K03515_at,GPI
