probeset,hgnc
70937_at,TARS2
70955_at,RGS22
70957_r_at,RNF149
70964_at,PPP1R9B
70994_at,TREM1
70996_at,TRIM25
71007_at,EPT1
71009_at,BAG1
71011_at,LINC00593
71013_at,IL36G
71014_at,FARP1
71019_at,SFXN1
71025_at,ZFAND5
71030_at,DONSON
71032_at,RNF169
71039_at,ZNF540
71047_at,EHD4
71061_at,TSPY26P
71069_at,C6orf132
71075_at,PRDM6
71079_at,EMX2
71094_at,KCTD11
71096_at,PITPNC1
71098_at,ZNF12
71100_at,GTF2F1
71101_at,TCEAL6
71106_i_at,PKD1
71107_r_at,PKD1
71110_at,FAM98A
71112_at,SELRC1
71118_at,NPHP1
71124_r_at,AJAP1
71126_at,UTP6
71128_r_at,YARS2
71137_at,DKK2
71139_at,INADL
71150_r_at,SUCLA2
71166_at,BCMO1
71169_at,ANKRD44
71175_r_at,PANK2
71180_at,RELT
71182_at,CYTH3
71187_at,LCA5
71189_at,HRH1
71191_i_at,TMEM221
71193_r_at,TMEM221
71210_at,ACAD10
71212_at,ACAD10
71214_f_at,PI4KA///PI4KAP1///PI4KAP2
71216_i_at,PI4KA///PI4KAP2
71218_f_at,PI4KA///PI4KAP1///PI4KAP2
71228_at,RRN3P2
71232_at,GON4L
71234_at,ZNF641
71239_at,ZBTB2
71241_at,CGNL1
71242_at,CXorf23
71245_at,HOXC6
71246_at,LIN7C
71252_r_at,DNPEP
71256_at,LAMA4
71258_at,DCAF4L1
71264_at,STAG3L4
71283_at,LPCAT2
71291_at,NCOA7
71305_at,ITPKB-IT1
71325_f_at,ZIC2
71328_f_at,ZIC2
71340_r_at,SCFD1
71346_at,CYP24A1
71348_at,CCDC90A
71354_at,MACC1
71358_at,BHMT2
71359_at,BOC
71361_at,ATE1
71371_at,LCN15
71373_at,LCN15
71377_at,TTC17
71389_at,CLUHP3
71390_at,RBM44
71398_at,ARMC2
71400_at,PRR22
71407_at,DMRTC2
71418_at,TMEM254-AS1
71426_f_at,PGD
71442_r_at,LINC00472
71443_at,ARHGEF33
71459_at,CEP128
71462_at,SPRYD7
71465_g_at,SPRYD7
71466_at,TPRXL
71473_at,LIN9
71475_at,ARHGAP42
71477_g_at,ARHGAP42
71485_at,UPK1B
71490_at,ZKSCAN1
71505_f_at,VPS29
71509_r_at,ZNF551
71511_at,RNA5SP301
71517_at,GRWD1
71520_i_at,RFWD2
71521_r_at,RFWD2
71523_r_at,AP1AR
71532_at,JAM3
71534_at,RBBP5
71537_at,MKLN1
